1(1) 57253700776.055 -> 2.305e-03 1.000e+00
2(1) 138342946595.104 -> 3.543e-03 1.000e+00
3(1) 121936248802.694 -> 1.807e-03 9.032e-01
4(1) 20916374598.608 -> 2.648e-03 1.000e+00
5(1) 89004862876.327 -> 2.478e-03 1.000e+00
6(1) 66642714197.433 -> 9.262e-04 8.532e-01
7(1) 85259778065.572 -> 1.814e-03 1.000e+00
8(1) 126212415607.606 -> 1.952e-03 1.000e+00
9(1) 152908666330.825 -> 1.406e-03 1.000e+00
10(1) 63115568284.144 -> 4.386e-04 1.000e+00
11(1) 77042279845.633 -> 3.846e-03 1.000e+00
12(1) 28825518425.588 -> 3.594e-03 1.000e+00
1(1) 83761155460.477 -> 1.679e-03 1.000e+00
2(1) 117745967624.100 -> 4.882e-03 1.003e+00
3(1) 147900708697.226 -> 4.324e-04 1.000e+00
4(1) 57364558767.727 -> 2.803e-03 1.000e+00
5(1) 126786937283.666 -> 6.667e-04 7.426e-01
6(1) 31947745463.846 -> 2.886e-03 1.000e+00
7(1) 57710120648.952 -> 7.321e-03 1.000e+00
8(1) 56407171974.854 -> 3.462e-03 1.000e+00
9(1) 83255541332.437 -> 1.741e-03 9.447e-01
10(1) 105089759804.890 -> 1.152e-03 7.648e-01
11(1) 58733294929.617 -> 1.328e-03 1.000e+00
12(1) 10806660599.605 -> 4.384e-03 1.000e+00
13(1) 145987049780.098 -> 5.001e-03 1.000e+00
14(1) 105049658449.168 -> 2.708e-03 1.000e+00
15(1) 82469010293.898 -> 1.709e-03 9.431e-01
16(1) 96650825035.554 -> 2.023e-03 1.000e+00
17(1) 76545079023.795 -> 1.447e-03 1.000e+00
18(1) 99733305537.059 -> 1.189e-03 1.000e+00
1(1) 27337810881.484 -> 1.426e-03 1.000e+00
2(1) 101439052592.692 -> 2.375e-03 1.000e+00
3(1) 127485654154.520 -> 2.314e-03 1.000e+00
4(1) 101888647783.433 -> 2.576e-03 1.000e+00
5(1) 119071119974.421 -> 3.060e-03 1.000e+00
6(1) 51913257959.861 -> 2.938e-03 9.999e-01
7(1) 84537290840.294 -> 4.615e-03 1.026e+00
8(1) 152876931112.148 -> 1.364e-03 9.439e-01
9(1) 88479081523.445 -> 5.999e-03 1.000e+00
10(1) 61908082454.701 -> 1.323e-03 9.990e-01
11(1) 65689518132.382 -> 3.487e-03 1.000e+00
12(1) 93912668652.828 -> 6.733e-03 1.000e+00
13(1) 137502344692.756 -> 9.273e-04 1.000e+00
14(1) 113663143952.024 -> 1.417e-03 8.416e-01
15(1) 58350169138.042 -> 2.709e-03 1.000e+00
16(1) 43309262138.363 -> 3.476e-03 1.000e+00
17(1) 68435566681.264 -> 1.756e-03 8.398e-01
18(1) 80650815277.613 -> 2.199e-03 1.000e+00
19(1) 101172343935.250 -> 9.100e-03 1.000e+00
1(1) 7818364717.412 -> 2.814e-03 1.000e+00
2(1) 40771961395.509 -> 4.229e-03 1.000e+00
1(1) 26140784647.658 -> 2.331e-03 1.000e+00
2(1) 71807907139.673 -> 1.291e-03 1.000e+00
3(1) 122382795071.719 -> 6.788e-04 1.000e+00
4(1) 40358026697.001 -> 1.030e-03 1.000e+00
5(1) 100400852231.901 -> 7.239e-03 1.000e+00
6(1) 83783471386.991 -> 5.948e-04 7.420e-01
7(1) 96639366375.399 -> 3.311e-04 1.000e+00
8(1) 55332630774.429 -> 1.167e-03 1.000e+00
9(1) 88959279470.448 -> 6.520e-04 1.000e+00
10(1) 122555664328.322 -> 2.964e-04 1.000e+00
11(1) 83855974738.387 -> 1.124e-03 1.000e+00
12(1) 75436976364.770 -> 5.879e-03 1.000e+00
13(1) 76837257562.815 -> 7.438e-03 1.000e+00
14(1) 121300745969.391 -> 1.336e-03 1.000e+00
15(1) 103189844020.934 -> 2.401e-03 1.000e+00
1(1) 47948944046.144 -> 3.559e-03 9.755e-01
2(1) 50034561863.273 -> 2.427e-03 1.000e+00
3(1) 121099220112.772 -> 3.432e-03 1.000e+00
4(1) 24151015622.943 -> 1.289e-03 8.615e-01
5(1) 83401175667.611 -> 1.372e-03 8.381e-01
6(1) 94404742093.327 -> 5.422e-03 9.999e-01
7(1) 45717065954.351 -> 1.841e-03 1.000e+00
1(1) 110090691236.076 -> 3.341e-03 1.000e+00
2(1) 29667796576.595 -> 1.402e-03 9.999e-01
3(1) 69302008865.867 -> 3.698e-03 1.000e+00
4(1) 71667035014.520 -> 8.214e-04 1.000e+00
5(1) 39380013885.279 -> 2.784e-03 1.000e+00
6(1) 57395423979.200 -> 1.935e-03 1.000e+00
7(1) 63330354403.298 -> 2.283e-03 1.000e+00
8(1) 112223575173.663 -> 8.669e-04 8.764e-01
9(1) 57523181776.956 -> 5.581e-03 1.000e+00
10(1) 86661955022.504 -> 1.256e-03 8.259e-01
11(1) 151133184009.486 -> 1.138e-03 1.000e+00
12(1) 146886020307.241 -> 2.642e-03 1.000e+00
13(1) 112774873080.273 -> 1.233e-03 1.000e+00
14(1) 84448898244.770 -> 2.746e-03 1.000e+00
15(1) 57421388164.078 -> 9.021e-04 1.000e+00
16(1) 87659135242.742 -> 1.120e-03 8.871e-01
17(1) 86380416493.913 -> 5.467e-04 1.000e+00
18(1) 105697572979.565 -> 2.510e-03 1.000e+00
19(1) 68479925632.201 -> 1.656e-03 9.819e-01
20(1) 36660934099.882 -> 3.348e-03 1.000e+00
21(1) 63628644221.071 -> 9.127e-04 1.000e+00
22(1) 163809315016.394 -> 4.764e-03 9.999e-01
23(1) 145258998662.360 -> 8.318e-04 8.741e-01
24(1) 89188753508.696 -> 1.472e-03 9.467e-01
25(1) 175700832225.952 -> 3.775e-03 1.000e+00
26(1) 74315798495.418 -> 7.116e-03 9.984e-01
27(1) 95396241010.650 -> 1.384e-03 1.000e+00
28(1) 42132104700.385 -> 1.495e-03 8.272e-01
29(1) 72970624408.616 -> 3.593e-03 1.000e+00
30(1) 85180518435.271 -> 8.394e-04 7.214e-01
31(1) 96950237476.072 -> 2.109e-03 9.389e-01
32(1) 59314409722.455 -> 1.631e-03 8.882e-01
1(1) 45460737063.087 -> 1.289e-03 7.690e-01
2(1) 56232593990.144 -> 3.596e-03 1.000e+00
3(1) 98054138520.136 -> 8.149e-04 1.000e+00
4(1) 47876903768.629 -> 1.726e-03 9.130e-01
