0	1000
2	1667
4	7500
6	17500
8	58333
10	195833
12	347500
14	131250
	
0	1000
2	0
4	6666.666667
6	31666.66667
8	57500
10	188333.3333
12	321666.6667
14	133333.3333
	
0	1000
2	833.3333333
4	6666.666667
6	20833.33333
8	48333.33333
10	170000
12	256250
14	18750
	
0	1000
2	3750
4	9583
6	15833
8	38333
10	69167
12	223333
14	15000
	
0	1000
2	3750
4	0
6	0
8	416.6666667
10	0
12	833.3333333
14	1666.666667

