1(1) 133193309708.458 -> 7.664e-04 6.311e-01
2(1) 90150819507.083 -> 3.950e-03 9.063e-01
3(1) 115081553445.711 -> 1.665e-03 6.164e-01
4(1) 164618531433.537 -> 1.129e-03 6.515e-01
5(1) 122399902872.872 -> 2.246e-03 8.279e-01
6(1) 113434842664.037 -> 7.159e-04 6.693e-01
7(1) 132496514977.569 -> 7.926e-03 9.999e-01
8(1) 57906874716.161 -> 1.844e-03 7.588e-01
9(1) 114943622295.069 -> 1.212e-03 7.106e-01
10(1) 146094596959.387 -> 3.638e-03 7.892e-01
11(1) 116751979106.979 -> 3.270e-03 7.794e-01
12(1) 131647889451.034 -> 2.458e-03 8.083e-01
13(1) 112699506719.504 -> 3.829e-03 7.607e-01
14(1) 163188143815.229 -> 3.166e-03 8.591e-01
15(1) 122038139743.579 -> 1.818e-03 8.131e-01
16(1) 80512660192.171 -> 3.695e-03 7.670e-01
17(1) 77696986012.564 -> 1.912e-03 7.359e-01
18(1) 91066167945.164 -> 1.535e-03 7.690e-01
19(1) 79984529933.018 -> 9.766e-04 6.357e-01
20(1) 132896778983.673 -> 9.521e-04 6.162e-01
21(1) 78163185658.143 -> 1.226e-03 7.146e-01
22(1) 112638919118.273 -> 2.275e-03 8.685e-01
23(1) 108173672460.960 -> 2.271e-03 6.832e-01
24(1) 194456459702.051 -> 3.553e-03 8.913e-01
25(1) 116014437436.219 -> 2.073e-03 7.189e-01
26(1) 106793835327.850 -> 3.700e-04 6.349e-01
27(1) 45076048974.341 -> 3.556e-04 6.400e-01
28(1) 123133892905.665 -> 1.724e-03 6.650e-01
29(1) 138820255951.796 -> 2.959e-03 8.276e-01
30(1) 99316490556.741 -> 4.234e-03 8.618e-01
31(1) 86729221292.858 -> 1.984e-03 7.994e-01
32(1) 163947345995.060 -> 8.353e-04 6.255e-01
33(1) 59893355737.686 -> 2.822e-03 8.838e-01
34(1) 145511427441.256 -> 1.899e-03 6.947e-01
35(1) 151168297430.932 -> 3.130e-03 7.993e-01
36(1) 101476505800.381 -> 4.665e-04 6.669e-01
37(1) 108028790417.858 -> 9.764e-04 7.709e-01
38(1) 89527024689.087 -> 1.539e-03 5.833e-01
39(1) 92097326199.596 -> 1.849e-03 6.981e-01
40(1) 110403953292.992 -> 3.266e-03 8.203e-01
41(1) 110040612476.315 -> 2.290e-03 6.604e-01
42(1) 142920760415.280 -> 6.467e-03 9.467e-01
43(1) 174446741549.013 -> 1.689e-03 7.579e-01
44(1) 152888065200.291 -> 2.007e-03 7.308e-01
45(1) 102689821962.022 -> 3.139e-03 7.753e-01
46(1) 76995176974.262 -> 3.411e-03 8.143e-01
47(1) 121553998542.628 -> 2.861e-03 7.637e-01
48(1) 65764623438.313 -> 2.361e-03 7.445e-01
49(1) 124143252686.112 -> 3.704e-03 7.881e-01
50(1) 135456703909.911 -> 2.257e-03 7.860e-01
51(1) 110111816912.064 -> 1.645e-03 8.418e-01
52(1) 102634556904.757 -> 1.789e-03 7.283e-01
53(1) 139643743392.939 -> 5.387e-04 7.371e-01
54(1) 111776072032.816 -> 1.780e-03 8.268e-01
55(1) 147079503133.079 -> 9.447e-04 6.308e-01
56(1) 174592666374.836 -> 1.743e-03 7.363e-01
57(1) 78213469871.114 -> 6.340e-04 5.954e-01
58(1) 111126656729.164 -> 5.565e-04 7.272e-01
59(1) 63324757778.426 -> 2.806e-03 7.971e-01
60(1) 93681380172.650 -> 2.005e-03 7.657e-01
61(1) 131915431583.713 -> 9.794e-04 7.546e-01
62(1) 124905744281.496 -> 7.466e-04 7.417e-01
63(1) 75175778352.704 -> 2.603e-03 8.376e-01
64(1) 137353942822.762 -> 2.479e-03 7.386e-01
65(1) 95512746645.956 -> 1.057e-03 7.314e-01
1(1) 137017931698.249 -> 2.588e-03 7.438e-01
2(1) 194088893586.364 -> 1.062e-03 8.113e-01
3(1) 111432347203.822 -> 4.522e-03 7.260e-01
4(1) 163299720252.996 -> 3.757e-03 9.450e-01
5(1) 155872650020.133 -> 8.610e-04 6.174e-01
6(1) 94517739020.118 -> 2.044e-03 7.778e-01
7(1) 91341131468.993 -> 2.337e-03 7.944e-01
8(1) 98531856324.144 -> 6.399e-03 1.000e+00
9(1) 120848748578.668 -> 2.522e-03 7.116e-01
1(1) 136480953932.610 -> 5.985e-04 6.044e-01
2(1) 96590904240.160 -> 3.075e-03 6.633e-01
3(1) 89448679861.862 -> 1.949e-03 7.116e-01
4(1) 147244556495.303 -> 1.876e-03 6.267e-01
5(1) 121532196709.519 -> 3.352e-04 7.559e-01
6(1) 80636299230.431 -> 5.459e-04 6.492e-01
7(1) 97892399614.041 -> 2.172e-03 7.263e-01
8(1) 109531540527.460 -> 2.431e-03 7.525e-01
9(1) 128352461663.334 -> 2.472e-03 9.305e-01
10(1) 135495986723.027 -> 1.552e-03 7.286e-01
11(1) 66193662630.589 -> 1.406e-03 6.924e-01
12(1) 164404034081.034 -> 2.041e-03 6.063e-01
13(1) 101086659612.357 -> 2.744e-03 6.747e-01
14(1) 115967064596.633 -> 1.823e-03 7.415e-01
1(1) 96229965830.023 -> 1.377e-03 6.943e-01
2(1) 155522666532.511 -> 8.834e-03 9.037e-01
3(1) 126434066622.881 -> 3.217e-03 8.175e-01
4(1) 143761026790.180 -> 1.059e-03 7.700e-01
5(1) 78066425691.779 -> 3.299e-04 6.265e-01
6(1) 169961021546.139 -> 1.733e-03 7.719e-01
7(1) 115144149985.337 -> 1.742e-03 7.745e-01
8(1) 95881345843.499 -> 4.344e-03 8.417e-01
9(1) 83720131461.395 -> 1.116e-03 6.415e-01
10(1) 121448718972.581 -> 1.981e-03 7.132e-01
11(1) 63733274264.155 -> 1.974e-03 6.825e-01
12(1) 77285203588.759 -> 1.883e-03 7.074e-01
13(1) 117034907867.463 -> 6.294e-04 6.453e-01
14(1) 142593185831.671 -> 2.950e-03 7.461e-01
15(1) 158208942291.497 -> 9.387e-04 6.544e-01
16(1) 146064042178.405 -> 2.439e-03 7.749e-01
17(1) 122612092685.877 -> 3.665e-03 7.827e-01
18(1) 125835135948.623 -> 1.971e-03 7.491e-01
1(1) 144955059521.863 -> 7.504e-04 6.897e-01
2(1) 94059636405.094 -> 1.260e-03 7.152e-01
3(1) 37827165420.395 -> 2.468e-03 6.722e-01
4(1) 63702854196.187 -> 1.674e-03 7.198e-01
5(1) 98324705848.887 -> 3.600e-03 7.612e-01
6(1) 124149739138.039 -> 3.280e-03 8.491e-01
7(1) 184427268544.389 -> 2.186e-03 7.917e-01
8(1) 112134312555.053 -> 4.150e-03 8.641e-01
9(1) 127238802004.755 -> 2.813e-03 8.506e-01
10(1) 64926525884.613 -> 4.055e-03 7.197e-01
11(1) 60681356050.708 -> 3.785e-03 7.664e-01
12(1) 135112163944.476 -> 2.619e-03 7.066e-01
13(1) 138420372495.716 -> 5.652e-03 8.630e-01
14(1) 131245233225.157 -> 2.307e-03 7.194e-01
15(1) 144259921253.235 -> 1.580e-03 7.194e-01
16(1) 138668714230.522 -> 3.394e-03 7.140e-01
17(1) 109026061814.306 -> 5.830e-03 1.000e+00
1(1) 101352568667.102 -> 8.972e-04 6.296e-01
2(1) 67246885128.701 -> 2.316e-03 8.082e-01
3(1) 111610938934.801 -> 1.629e-03 7.570e-01
4(1) 131077627008.418 -> 2.723e-03 7.633e-01
5(1) 101504544616.249 -> 6.282e-03 1.000e+00
6(1) 164359774266.939 -> 1.864e-03 7.703e-01
7(1) 121909079069.299 -> 6.766e-04 6.044e-01
8(1) 58979475966.304 -> 1.449e-03 6.375e-01
9(1) 166002517266.436 -> 6.411e-03 9.584e-01
10(1) 57507110290.419 -> 3.277e-03 7.414e-01
11(1) 88141225646.277 -> 6.151e-03 7.323e-01
12(1) 88945061106.034 -> 1.503e-03 7.275e-01
13(1) 79843158350.319 -> 2.432e-03 7.740e-01
14(1) 120093980766.788 -> 1.363e-03 7.658e-01
15(1) 95184013543.599 -> 7.191e-04 6.672e-01
16(1) 64588127255.166 -> 3.232e-03 8.157e-01
17(1) 72505804368.442 -> 2.505e-03 7.955e-01
18(1) 74271108828.388 -> 2.525e-03 7.122e-01
19(1) 143191030487.552 -> 4.524e-04 7.014e-01
20(1) 82542059307.130 -> 3.889e-03 7.860e-01
21(1) 121019692524.516 -> 1.611e-03 6.719e-01
22(1) 112882296260.599 -> 2.041e-03 8.898e-01
23(1) 136943051685.444 -> 2.587e-03 8.074e-01
24(1) 73070349214.921 -> 1.436e-03 5.923e-01
25(1) 82703707785.503 -> 3.792e-03 9.534e-01
26(1) 136287410707.427 -> 1.796e-03 7.489e-01
27(1) 128467703426.950 -> 4.602e-03 8.068e-01
28(1) 135585793222.616 -> 3.592e-03 8.728e-01
29(1) 86143951718.993 -> 1.785e-03 7.819e-01
