1(1) 131844956540.595 -> 3.412e-03 3.655e-01
2(1) 258363558946.190 -> 1.403e-02 7.079e-01
3(1) 185639960705.730 -> 1.090e-02 7.792e-01
4(1) 102197960402.277 -> 7.870e-02 9.996e-01
5(1) 112540121826.832 -> 5.935e-02 9.948e-01
6(1) 194450709524.147 -> 2.803e-02 8.591e-01
1(1) 170386450541.056 -> 6.760e-03 6.731e-01
2(1) 99661036803.387 -> 4.663e-03 7.205e-01
3(1) 103911483129.856 -> 4.544e-03 8.186e-01
4(1) 98509602414.159 -> 5.240e-03 5.989e-01
5(1) 162200435933.690 -> 1.072e-02 8.418e-01
6(1) 106575170948.696 -> 6.028e-03 6.390e-01
7(1) 138680665197.246 -> 6.932e-03 7.244e-01
8(1) 91373796392.335 -> 4.215e-03 6.002e-01
9(1) 92179504995.854 -> 1.820e-02 8.516e-01
10(1) 146487419437.268 -> 5.477e-03 7.143e-01
11(1) 56721706600.151 -> 4.531e-03 7.669e-01
12(1) 154407093304.524 -> 6.718e-03 7.082e-01
13(1) 102553619351.738 -> 3.601e-03 6.362e-01
14(1) 81002999107.340 -> 2.278e-03 7.586e-01
15(1) 88843418233.594 -> 2.631e-03 6.890e-01
16(1) 139444019831.625 -> 2.970e-03 7.614e-01
17(1) 147240841509.183 -> 3.391e-03 7.300e-01
18(1) 136412955799.566 -> 4.567e-03 7.095e-01
19(1) 64634860182.549 -> 4.013e-03 7.386e-01
20(1) 127869138324.703 -> 1.015e-02 7.349e-01
21(1) 114257447472.483 -> 9.908e-03 8.329e-01
22(1) 84661233328.257 -> 4.438e-03 7.911e-01
23(1) 98824799733.917 -> 4.096e-03 7.132e-01
24(1) 129285734781.593 -> 9.712e-03 7.692e-01
25(1) 100216129369.989 -> 4.741e-03 7.681e-01
26(1) 135044759592.990 -> 3.387e-03 5.996e-01
27(1) 77157495322.579 -> 1.056e-02 9.623e-01
28(1) 88128369306.616 -> 7.877e-03 8.692e-01
29(1) 183745304284.677 -> 3.935e-03 6.907e-01
30(1) 73823390817.724 -> 2.891e-03 7.395e-01
31(1) 112452162593.784 -> 5.088e-03 7.454e-01
32(1) 65626677709.201 -> 6.049e-03 7.390e-01
33(1) 105839418371.714 -> 1.689e-03 6.382e-01
34(1) 122655689518.491 -> 1.324e-02 7.742e-01
35(1) 124433793026.195 -> 9.751e-03 8.696e-01
1(1) 104385042568.370 -> 3.110e-03 7.476e-01
2(1) 88352375994.296 -> 4.301e-03 7.581e-01
3(1) 120812415253.019 -> 2.552e-02 1.000e+00
4(1) 107537388273.650 -> 2.627e-03 7.430e-01
5(1) 106163030321.590 -> 2.850e-03 7.884e-01
6(1) 125338152626.072 -> 1.972e-03 6.983e-01
7(1) 128135573604.664 -> 1.143e-02 8.167e-01
8(1) 103046541573.064 -> 1.298e-02 9.303e-01
9(1) 123974051692.053 -> 5.218e-03 7.047e-01
10(1) 165875288070.626 -> 3.596e-02 1.000e+00
11(1) 79979362528.432 -> 1.894e-03 6.803e-01
12(1) 109722747253.807 -> 2.222e-03 6.753e-01
13(1) 130943759670.153 -> 6.661e-03 8.447e-01
14(1) 78901374080.116 -> 3.091e-03 6.419e-01
15(1) 67985162548.025 -> 6.649e-03 8.850e-01
16(1) 102201938440.365 -> 2.933e-03 7.502e-01
17(1) 113104386350.082 -> 2.964e-03 6.306e-01
18(1) 118142410313.369 -> 3.481e-03 6.883e-01
19(1) 44899818014.344 -> 4.081e-03 8.235e-01
20(1) 136285428808.083 -> 6.509e-03 7.365e-01
21(1) 73285079428.932 -> 4.921e-03 8.237e-01
22(1) 100201326889.047 -> 3.108e-02 9.989e-01
1(1) 75915273674.014 -> 4.501e-03 5.599e-01
2(1) 100482165511.079 -> 2.849e-03 6.220e-01
3(1) 124563140803.594 -> 2.218e-03 7.421e-01
4(1) 81895338275.061 -> 2.679e-02 1.000e+00
5(1) 81893860178.886 -> 6.437e-03 7.386e-01
