0	1000	0
2	6667	1909.40654
4	28333	2886.751346
6	110833	17559.42292
8	178333	67746.46362
10	371667	192764.9692

		
0	1000	0
2	5000	1250
4	26667	9464.847243
6	84167	10103.62971
8	157500	45893.89938
10	188333	107247.7661
12	445000	87927.52698
		
0	1000	0
2	5833	1909.40654
4	23333	8779.711461
6	84167	17559.42292
8	136667	31852.52476
10	427500	93774.99667
12	393333	138413.6313
		
0	1000	0
2	3333	1909.40654
4	16667	1443.375673
6	19167	2886.751346
8	35000	16393.59631
10	98333	23629.07813
12	316250	47729.70773
		
0	1000	0
2	3333	1443.375673
4	833	1443.375673
6	417	721.6878365
8	0	0
10	0	0
12	0	0

