0	1000	0
2	1667	1443.376
4	7500	3307.189
6	17500	5000
8	58333	29297.33
10	195833	14215.6
12	347500	41306.78
	
0	1000	0
2	0	0
4	6666.666667	2602.082
6	31666.66667	5773.503
8	57500	8660.254
10	188333.3333	7637.626
12	321666.6667	77674.53
	
0	1000	0
2	833.3333333	721.6878
4	6666.666667	721.6878
6	20833.33333	1443.376
8	48333.33333	22546.25
10	170000	35000
12	256250	187466.7
	
0	1000	0
2	3750	0	
4	9583	5907.27
6	15833	5773.503
8	38333	14215.6
10	69167	47521.92
12	223333	69116.45

0	1000	0
2	3333	721.687836
4	5000	1250
6	3333	1909.40654
8	4167	721.687836
10	4167	1767.76695
12	1250	1250
14	2083	3608.43918

0	1000	0
2	2917	721.687836	
4	5833	1909.40654	
6	1250	1250	
8	1667	721.687836
10	1250	2165.06351	
	
0	1000	0
2	3750	4330.127
4	0	0
6	0	0	
8	416.6666667	721.6878
10	0	0
12	833.3333333	1443.376
14	1666.666667	1443.376
